index,Pr,In,Cp,Cl,Cn,Br,Expected Profit / customer,Market Shares,Cost
69,30,3,20,F,Lk,C,3.867810840621801,0.18244390757650006,8.8
70,30,3,20,E,Sl,C,2.4166216372134923,0.11562782953174605,9.1
71,30,3,20,E,Sp,C,3.4730871919287174,0.16859646562760763,9.4
72,30,3,20,E,Lk,C,5.280342623656943,0.25884032468906587,9.6
73,30,3,32,D,Sl,C,0.6906475994791653,0.030425004382342087,7.3
74,30,3,32,D,Sp,C,1.0561327909368274,0.0471487853096798,7.6
75,30,3,32,D,Lk,C,1.882207022420902,0.08478410010904965,7.8
76,30,3,32,F,Sl,C,1.3833509724079769,0.06434190569339428,8.5
77,30,3,32,F,Sp,C,2.0291668708648323,0.0957154184370204,8.8
78,30,3,32,F,Lk,C,3.353314973613588,0.15968166541017087,9.0
79,30,3,32,E,Sl,C,2.138273241609496,0.10329822423234279,9.3
80,30,3,32,E,Sp,C,3.007223761938215,0.14741292950677526,9.600000000000001
81,30,3,32,E,Lk,C,4.59716754969949,0.2275825519653213,9.8
82,10,0.5,12,D,Sl,C,0.7359320762288131,0.1051331537469733,3.0
83,10,0.5,12,D,Sp,C,0.9773446281219341,0.14587233255551255,3.3
84,10,0.5,12,D,Lk,C,1.3134944374121258,0.2020760672941732,3.5
85,10,0.5,12,F,Sl,C,1.043162196608097,0.17985555113932708,4.2
86,10,0.5,12,F,Sp,C,1.3084375041176188,0.23789772802138526,4.5
87,10,0.5,12,F,Lk,C,1.690393333269247,0.3189421383526881,4.7
88,10,0.5,12,E,Sl,C,1.1808981789996118,0.23617963579992238,5.0
89,10,0.5,12,E,Sp,C,1.4354771054614295,0.30542066073647434,5.3
90,10,0.5,12,E,Lk,C,1.783343205448643,0.3962984900996985,5.5
91,10,0.5,20,D,Sl,C,0.6280109641895788,0.11629832670177385,4.6
92,10,0.5,20,D,Sp,C,0.8335710813950246,0.16344531007745577,4.8999999999999995
93,10,0.5,20,D,Lk,C,1.1276876965277935,0.2301403462301619,5.1
94,10,0.5,20,F,Sl,C,0.8471559954246247,0.2017038084344345,5.800000000000001
95,10,0.5,20,F,Sp,C,1.0471288383815767,0.26849457394399406,6.1000000000000005
96,10,0.5,20,F,Lk,C,1.3377737887557835,0.36156048344750913,6.300000000000001
97,10,0.5,20,E,Sl,C,0.8989873765395341,0.26440805192339234,6.6
98,10,0.5,20,E,Sp,C,1.0625969210073247,0.3427732003249434,6.8999999999999995
99,10,0.5,20,E,Lk,C,1.2910736158068752,0.4451977985540948,7.1
100,10,0.5,32,D,Sl,C,0.5580699526438978,0.10732114473921112,4.8
101,10,0.5,32,D,Sp,C,0.7330170128039117,0.14959530873549218,5.1
102,10,0.5,32,D,Lk,C,0.9979545985002485,0.21233076563835074,5.3
103,10,0.5,32,F,Sl,C,0.731672784528301,0.18291819613207524,6.0
104,10,0.5,32,F,Sp,C,0.8919471018172227,0.24106678427492503,6.3
105,10,0.5,32,F,Lk,C,1.1405787958407854,0.32587965595451013,6.5
106,10,0.5,32,E,Sl,C,0.7661029404009514,0.23940716887529728,6.8
107,10,0.5,32,E,Sp,C,0.8922628237492499,0.3076768357756034,7.1
108,10,0.5,32,E,Lk,C,1.0807358730619703,0.4002725455785075,7.3
109,10,1,12,D,Sl,C,0.8661560616235652,0.13325477871131772,3.5
110,10,1,12,D,Sp,C,1.1294002788157336,0.18216133529286024,3.8
111,10,1,12,D,Lk,C,1.4901454494902806,0.24835757491504679,4.0
112,10,1,12,F,Sl,C,1.1782966797910324,0.22232012826245895,4.7
113,10,1,12,F,Sp,C,1.455596581252114,0.2911193162504228,5.0
114,10,1,12,F,Lk,C,1.8439104499780345,0.38414801041209057,5.2
115,10,1,12,E,Sl,C,1.2907424891389754,0.28683166425310563,5.5
116,10,1,12,E,Sp,C,1.5433607958934328,0.36746685616510305,5.8
117,10,1,12,E,Lk,C,1.8793749455785356,0.4698437363946339,6.0
118,10,1,20,D,Sl,C,0.7241546813909507,0.1477866696716226,5.1
119,10,1,20,D,Sp,C,0.9400893733196674,0.20436725506949288,5.3999999999999995
120,10,1,20,D,Lk,C,1.2425507411770378,0.28239789572205404,5.6
121,10,1,20,F,Sl,C,0.9220509245280211,0.24920295257514088,6.300000000000001
122,10,1,20,F,Sp,C,1.1150672133799144,0.32796094511173957,6.6000000000000005
123,10,1,20,F,Lk,C,1.3895120455377785,0.43422251423055586,6.800000000000001
124,10,1,20,E,Sl,C,0.9286255136349439,0.3202156943568772,7.1
125,10,1,20,E,Sp,C,1.0689508476827883,0.41113494141645696,7.3999999999999995
126,10,1,20,E,Lk,C,1.2621595856447614,0.5258998273519838,7.6
127,10,1,32,D,Sl,C,0.637200693226501,0.13557461558010658,5.3
128,10,1,32,D,Sp,C,0.8169877232543138,0.18567902801234404,5.6
129,10,1,32,D,Lk,C,1.0837833394760057,0.2580436522561918,5.8
130,10,1,32,F,Sl,C,0.7856472836976213,0.22447065248503464,6.5
131,10,1,32,F,Sp,C,0.9359543398824185,0.2924857312132558,6.8
132,10,1,32,F,Lk,C,1.164726749102749,0.38824224970091636,7.0
133,10,1,32,E,Sl,C,0.7782422839602572,0.2882378829482434,7.3
134,10,1,32,E,Sp,C,0.8809316381060927,0.3670548492108719,7.6
135,10,1,32,E,Lk,C,1.0338115169260211,0.4699143258754641,7.8
136,10,3,12,D,Sl,C,0.7563592783775862,0.1680798396394636,5.5
137,10,3,12,D,Sp,C,0.9450743215394475,0.22501769560463034,5.8
138,10,3,12,D,Lk,C,1.2118926629195983,0.3029731657298996,6.0
139,10,3,12,F,Sl,C,0.9014137391671666,0.27315567853550504,6.7
140,10,3,12,F,Sp,C,1.0561596093575454,0.35205320311918176,7.0
141,10,3,12,F,Lk,C,1.2780816745064842,0.45645774089517294,7.2
142,10,3,12,E,Sl,C,0.8601328812921145,0.3440531525168458,7.5
143,10,3,12,E,Sp,C,0.9547783304672206,0.43399015021237297,7.8
144,10,3,12,E,Lk,C,1.0894417881562024,0.5447208940781012,8.0
145,10,3,20,D,Sl,C,0.5437430430164576,0.18749760104015775,7.1
146,10,3,20,D,Sp,C,0.6609347544090205,0.2542056747727001,7.3999999999999995
